scenario,price_change_pct,current_price,entry_sqrt_x96,current_sqrt_x96,il_float,il_float_pct,il_x96_int,il_x96_int_pct,abs_diff,abs_diff_pct
No price change,0.0,1.0,79228162514264337593543950336,79228162514264337593543950336,0.0,0.0,0.0,0.0,0.0,0.0
Small up (+5%),5.0,1.05,79228162514264337593543950336,81184708056111256723576061952,-0.00029748624784387,-0.029748624784387,-0.00029748624784406235,-0.029748624784406236,1.9233746539892849e-16,1.923374653989285e-14
Medium up (+20%),20.0,1.2,79228162514264337593543950336,86790103597495583603102318592,-0.004140804536061804,-0.4140804536061804,-0.004140804536061605,-0.4140804536061605,1.986258379993444e-16,1.986258379993444e-14
Large up (+50%),50.0,1.5,79228162514264337593543950336,97034285709124584035923787776,-0.020204102886728803,-2.0204102886728803,-0.020204102886728744,-2.0204102886728745,5.898059818321144e-17,5.898059818321144e-15
Double (+100%),100.0,2.0,79228162514264337593543950336,112045541949572287496682733568,-0.05719095841793653,-5.719095841793653,-0.05719095841793666,-5.719095841793666,1.249000902703301e-16,1.2490009027033011e-14
Triple (+200%),200.0,3.0,79228162514264337593543950336,137227202865029789651872776192,-0.1339745962155614,-13.397459621556141,-0.13397459621556132,-13.397459621556132,8.326672684688674e-17,8.326672684688674e-15
Small down (-5%),-5.0,0.95,79228162514264337593543950336,77222060634363714391462903808,-0.0003287851477986603,-0.03287851477986603,-0.00032878514779857514,-0.032878514779857516,8.516408064873637e-17,8.516408064873637e-15
Medium down (-20%),-20.0,0.8,79228162514264337593543950336,70863822845718282283796922368,-0.006192010000093506,-0.6192010000093506,-0.006192010000093471,-0.6192010000093471,3.5561831257524545e-17,3.5561831257524545e-15
Down -30%,-30.0,0.7,79228162514264337593543950336,66287036551430451535630303232,-0.0156940864304993,-1.5694086430499299,-0.01569408643049935,-1.569408643049935,5.204170427930421e-17,5.204170427930421e-15
Half (-50%),-50.0,0.5,79228162514264337593543950336,56022770974786143748341366784,-0.05719095841793653,-5.719095841793653,-0.057190958417936616,-5.719095841793662,8.326672684688674e-17,8.326672684688674e-15
Crash (-75%),-75.0,0.25,79228162514264337593543950336,39614081257132168796771975168,-0.19999999999999996,-19.999999999999996,-0.2,-20.0,5.551115123125783e-17,5.551115123125783e-15
