liquidity_share,volatility,tick_width,score_per_block,score_only_blocks,score_only_time,effective_blocks,effective_time,gate
0.5,0.5,10,0.10060740109546117,9940,5.5 h,100000,2.31 days,blocks
0.5,0.5,60,0.06057471763117027,16509,9.2 h,100000,2.31 days,blocks
0.5,0.5,200,0.04709634371348562,21234,11.8 h,100000,2.31 days,blocks
0.5,1.0,10,0.20121480219092233,4970,2.8 h,100000,2.31 days,blocks
0.5,1.0,60,0.12114943526234054,8255,4.6 h,100000,2.31 days,blocks
0.5,1.0,200,0.09419268742697123,10617,5.9 h,100000,2.31 days,blocks
0.5,1.5,10,0.3018222032863835,3314,1.8 h,100000,2.31 days,blocks
0.5,1.5,60,0.18172415289351082,5503,3.1 h,100000,2.31 days,blocks
0.5,1.5,200,0.14128903114045685,7078,3.9 h,100000,2.31 days,blocks
0.5,2.0,10,0.40242960438184466,2485,1.4 h,100000,2.31 days,blocks
0.5,2.0,60,0.24229887052468108,4128,2.3 h,100000,2.31 days,blocks
0.5,2.0,200,0.18838537485394247,5309,2.9 h,100000,2.31 days,blocks
0.7,0.5,10,0.14085036153364563,7100,3.9 h,100000,2.31 days,blocks
0.7,0.5,60,0.08480460468363837,11792,6.6 h,100000,2.31 days,blocks
0.7,0.5,200,0.06593488119887986,15167,8.4 h,100000,2.31 days,blocks
0.7,1.0,10,0.28170072306729127,3550,2.0 h,100000,2.31 days,blocks
0.7,1.0,60,0.16960920936727675,5896,3.3 h,100000,2.31 days,blocks
0.7,1.0,200,0.13186976239775972,7584,4.2 h,100000,2.31 days,blocks
0.7,1.5,10,0.42255108460093693,2367,1.3 h,100000,2.31 days,blocks
0.7,1.5,60,0.2544138140509151,3931,2.2 h,100000,2.31 days,blocks
0.7,1.5,200,0.19780464359663957,5056,2.8 h,100000,2.31 days,blocks
0.7,2.0,10,0.5634014461345825,1775,59.2 min,100000,2.31 days,blocks
0.7,2.0,60,0.33921841873455355,2948,1.6 h,100000,2.31 days,blocks
0.7,2.0,200,0.26373952479551943,3792,2.1 h,100000,2.31 days,blocks
0.9,0.5,10,0.1810933219718301,5523,3.1 h,100000,2.31 days,blocks
0.9,0.5,60,0.10903449173610649,9172,5.1 h,100000,2.31 days,blocks
0.9,0.5,200,0.08477341868427411,11797,6.6 h,100000,2.31 days,blocks
0.9,1.0,10,0.3621866439436602,2762,1.5 h,100000,2.31 days,blocks
0.9,1.0,60,0.21806898347221298,4586,2.5 h,100000,2.31 days,blocks
0.9,1.0,200,0.16954683736854823,5899,3.3 h,100000,2.31 days,blocks
0.9,1.5,10,0.5432799659154903,1841,1.0 h,100000,2.31 days,blocks
0.9,1.5,60,0.32710347520831945,3058,1.7 h,100000,2.31 days,blocks
0.9,1.5,200,0.2543202560528223,3933,2.2 h,100000,2.31 days,blocks
0.9,2.0,10,0.7243732878873204,1381,46.0 min,100000,2.31 days,blocks
0.9,2.0,60,0.43613796694442597,2293,1.3 h,100000,2.31 days,blocks
0.9,2.0,200,0.33909367473709645,2950,1.6 h,100000,2.31 days,blocks
0.99,0.5,10,0.19920265416901312,5021,2.8 h,100000,2.31 days,blocks
0.99,0.5,60,0.11993794090971714,8338,4.6 h,100000,2.31 days,blocks
0.99,0.5,200,0.09325076055270153,10724,6.0 h,100000,2.31 days,blocks
0.99,1.0,10,0.39840530833802623,2511,1.4 h,100000,2.31 days,blocks
0.99,1.0,60,0.23987588181943428,4169,2.3 h,100000,2.31 days,blocks
0.99,1.0,200,0.18650152110540305,5362,3.0 h,100000,2.31 days,blocks
0.99,1.5,10,0.5976079625070393,1674,55.8 min,100000,2.31 days,blocks
0.99,1.5,60,0.3598138227291514,2780,1.5 h,100000,2.31 days,blocks
0.99,1.5,200,0.27975228165810456,3575,2.0 h,100000,2.31 days,blocks
0.99,2.0,10,0.7968106166760525,1256,41.9 min,100000,2.31 days,blocks
0.99,2.0,60,0.47975176363886857,2085,1.2 h,100000,2.31 days,blocks
0.99,2.0,200,0.3730030422108061,2681,1.5 h,100000,2.31 days,blocks
